회사명 : (주)청명기연환경 / 2025/01/01  ~ 2025/11/07  / AS수리현황,,,,,,,,
일자-No.,제목,거래처명,수리유형명,담당자명,품목명,단가,수리내역,일련번호
25/06/19-3,토탈엔지니어링 일반수리,토탈엔지니어링,일반수리,조용재,"(NOx, SOx) BMW-5000","77,000",점검 및 정밀교정,1796
25/06/20-1,APM 일반수리,APM,일반수리,조용재,(CO) Serinus30i,"1,200,000",POWER SUPPLY,20-2132
25/06/20-2,APM 일반수리,APM,일반수리,조용재,(CO) Serinus30i,"100,000",점검기술료,20-2305
25/06/20-2,APM 일반수리,APM,일반수리,조용재,(CO) Serinus30i,"900,000","DISPLAY, LCD, 240 X 128 BLUE AND WHITE",20-2305
25/06/20-3,APM 일반수리,APM,일반수리,조용재,(O3) Serinus10i,"100,000",점검기술료,17-0133
25/06/20-3,APM 일반수리,APM,일반수리,조용재,(O3) Serinus10i,"900,000","DISPLAY, LCD, 240 X 128 BLUE AND WHITE",17-0133
25/06/20-4,APM 일반수리,APM,일반수리,조용재,(O3) Serinus10i,,일반수리,21-0321
25/06/20-5,APM 일반수리,APM,일반수리,조용재,(O3) Serinus10i,"150,000",점검기술료,21-0349
25/06/20-6,APM 일반수리,APM,일반수리,조용재,(PM-10) PMS-204,"100,000",점검기술료,1904004
25/06/20-7,APM 일반수리,APM,일반수리,조용재,(PM-2.5) PMS-204,"100,000",점검기술료,1501506
25/06/20-8,APM 일반수리,APM,일반수리,조용재,(PM-2.5) PMS-204,"100,000",점검기술료,1501490
25/06/24-1,KNJ 일반수리,KNJ,일반수리,성기성,(O3) 49iQ,"180,000",점검 및 교정,1192754688
25/07/04-1,태원 정도검사,태원시바타,정도검사,성기성,(벤젠) MP-Σ30KNⅡ,,정도검사,770660
25/07/04-2,태원 정도검사,태원시바타,정도검사,성기성,(VOCs) MP-Σ30KNⅡ,,정도검사,770654
25/07/04-3,태원 정도검사,태원시바타,정도검사,성기성,(VOCs) MP-Σ30KNⅡ,,정도검사,770655
25/07/04-4,태원 정도검사,태원시바타,정도검사,성기성,(VOCs) MP-Σ30KNⅡ,,정도검사,770657
25/07/04-5,태원 정도검사,태원시바타,정도검사,성기성,MP-Σ100KNⅡ,,정도검사,950574
25/07/04-6,태원 정도검사,태원시바타,정도검사,성기성,(벤젠) MP-Σ30KNⅡ,,정도검사,770658
25/07/04-7,APM 일반수리,APM,일반수리,성기성,(O3) Serinus10i,"150,000",점검기술료,17-0126
25/07/04-8,APM 일반수리,APM,일반수리,성기성,(O3) Serinus10i,"150,000",점검기술료,17-0128
25/07/04-9,APM 일반수리,APM,일반수리,성기성,(CO) Serinus30i,"150,000",점검기술료,20-2311
25/07/04-9,APM 일반수리,APM,일반수리,성기성,(NO2) Serinus40,"500,000",PCA CO Detector,21-0518
25/07/07-1,APM 일반수리,APM,일반수리,나훈,(CO) Serinus30i,,REF 수리,20-2311
25/07/07-2,APM 일반수리,APM,일반수리,나훈,(O3) Serinus10i,,Lamp Adjust,17-0126
25/07/07-3,APM 일반수리,APM,일반수리,나훈,(O3) Serinus10i,,Lamp Adjust,17-0128
25/07/07-4,태원 정도검사,태원시바타,정도검사,나훈,(VOCs) MP-Σ30KNⅡ,,정도검사,770654
25/07/07-5,태원 정도검사,태원시바타,정도검사,나훈,(VOCs) MP-Σ30KNⅡ,,정도검사,770657
25/07/07-6,태원 정도검사,태원시바타,정도검사,나훈,(벤젠) MP-Σ30KNⅡ,,정도검사,770660
25/07/07-7,태원 정도검사,태원시바타,정도검사,나훈,(벤젠) MP-Σ30KNⅡ,,정도검사,770658
25/07/07-8,태원 정도검사,태원시바타,정도검사,나훈,MP-Σ100KNⅡ,,정도검사,950574
25/07/07-9,태원 정도검사,태원시바타,정도검사,나훈,(VOCs) MP-Σ30KNⅡ,,정도검사,770655
25/07/15-1,한국환경공단 정도검사,한국환경공단,정도검사,전창근,(소음) SC-260,,정도검사,T242073
25/07/15-1,한국환경공단 정도검사,한국환경공단,정도검사,전창근,(진동) TYPE3233,,정도검사,170066
25/07/15-1,한국환경공단 정도검사,한국환경공단,정도검사,전창근,(진동) VM-1220E,,정도검사,20E546
25/07/15-1,한국환경공단 정도검사,한국환경공단,정도검사,전창근,(진동) TYPE3233,,정도검사,170067
25/07/18-1,켐익 일반수리,켐익,일반수리,권정원,(PM-10) KMS-4200,,유량이상,18P373
25/07/18-1,켐익 일반수리,켐익,일반수리,권정원,(PM-10) KMS-4200,,"SD카드 고장, 손잡이교체",19P424
25/07/18-1,켐익 일반수리,켐익,일반수리,권정원,(PM-10) KMS-4200,,기압센서 이상,19P428
25/07/18-2,토탈 일반수리,토탈엔지니어링,일반수리,권정원,"(NOx, SOx) BMW-5000",,B 유량이상,723
25/07/18-2,토탈 일반수리,토탈엔지니어링,일반수리,권정원,"(NOx, SOx) BMW-5000",,B 유량이상,726
25/07/18-3,APM 일반수리,APM,일반수리,이형섭,(PM-2.5) PMS-204,"100,000",기본점검,1501506
25/07/18-3,APM 일반수리,APM,일반수리,이형섭,(PM-2.5) PMS-204,"100,000",기본점검,1708787
25/07/23-1,켐익 일반수리,켐익,일반수리,신수용,COS-100,,라인청소,KM014W16CO22
25/07/29-1,APM 일반수리,APM,일반수리,김균학,(CO) Serinus30i,,전원이상,20-2131
25/07/29-1,APM 일반수리,APM,일반수리,김균학,(CO) Serinus30i,,수치값 이상,20-1503
25/07/29-1,APM 일반수리,APM,일반수리,김균학,(CO) Serinus30i,,12v 에러,20-2128
25/07/29-2,카인 일반수리,카인,일반수리,김균학,(Pb) T8400ME,,모터소리 이상,TA3696
25/07/29-2,카인 일반수리,카인,일반수리,김균학,(Pb) T8400ME,,작동X,TA3376
25/08/14-1,켐익 장비점검,켐익,정도검사,신수용,COS-100,,장비점검,KM008W18CO77
25/08/29-1,켐익 일반수리,켐익,일반수리,백승철,(PM-10) KMS-4200,"50,000",기본점검,19P433
25/08/29-1,켐익 일반수리,켐익,일반수리,백승철,(PM-10) KMS-4200,"100,000",USB 보드 교체,20P573
25/08/29-1,켐익 일반수리,켐익,일반수리,백승철,(PM-10) KMS-4200,"50,000",전면손잡이 교체,18P370
25/08/29-1,켐익 일반수리,켐익,일반수리,백승철,(CO) MEZUS-310,,signal이상,K1614027A
25/09/03-1,태원시바타 정도검사,태원시바타,정도검사,신수용,MP-Σ100KNⅡ,,정도검사 입고,840487
25/09/03-1,태원시바타 정도검사,태원시바타,정도검사,신수용,(벤젠) MP-Σ30KNⅡ,,정도검사 입고,850746
25/09/12-1,켐익 일반수리,켐익,일반수리,성기성,(PM-10) KMS-4200,,SD카드 폼웨어 오류,19P427
25/09/29-1,켐익 일반수리,켐익,일반수리,신수용,KMF-20,,수리점검,19FN200
25/09/29-1,켐익 일반수리,켐익,일반수리,신수용,KMF-20,,교정,19FN201
25/09/29-2,한국환경공단 정도검사,한국환경공단,정도검사,신수용,(진동) TYPE3233,,정도검사,180053
25/09/29-2,한국환경공단 정도검사,한국환경공단,정도검사,신수용,(진동) VM-1220E,,정도검사,20E333
25/10/15-1,켐익 일반수리,켐익,일반수리,나훈,(PM-10) KMS-4200,,펌웨어 오류,19P427
25/10/15-1,켐익 일반수리,켐익,일반수리,나훈,(PM-10) KMS-4200,,SD카드메모리 오류,19P405
25/10/15-1,켐익 일반수리,켐익,일반수리,나훈,(PM-10) KMS-4200,,시스템 오류,20P573
25/10/15-1,켐익 일반수리,켐익,일반수리,나훈,(PM-10) KMS-4200,,펌프고장,18P360
25/10/15-2,APM 일반수리,APM,일반수리,나훈,(SO2) Serinus50i,,유량이상,17-1903
25/10/15-2,APM 일반수리,APM,일반수리,나훈,(O3) Serinus10i,,안정화 오류,17-0129
25/10/15-2,APM 일반수리,APM,일반수리,나훈,(CO) Serinus30i,,유량이상,21-0330
25/10/15-2,APM 일반수리,APM,일반수리,나훈,(PM-2.5) PMS-204,,유량이상,1501511
25/10/15-2,APM 일반수리,APM,일반수리,나훈,(PM-2.5) PMS-204,,여과지폴더 케이스고장(문 안닫힘),1709797
25/10/15-3,토탈 일반수리,토탈엔지니어링,일반수리,나훈,"(NOx, SOx) BMW-5000",,오른쪽 펌프 작동안됨,726
25/10/15-3,토탈 일반수리,토탈엔지니어링,일반수리,나훈,"(NOx, SOx) BMW-5000",,펌프고장,849
합계,,,,,,"41,908,370",,
2025/11/07  오후 1:04:25,,,,,,,,
