회사명 : (주)청명기연환경 / 2025/01/01  ~ 2025/11/07  / AS수리현황,,,,,,,,
일자-No.,제목,거래처명,수리유형명,담당자명,품목명,단가,수리내역,일련번호
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,"150,000",기본점검,20-1348
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,"150,000",기본점검,20-1509
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,"150,000",기본점검,20-1502
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,"150,000",기본점검,20-1508
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,"150,000",기본점검,20-1503
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,"150,000",기본점검,20-1560
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,"150,000",기본점검,20-1384
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,"150,000",기본점검,20-1382
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,"150,000",기본점검,20-1393
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,정도검사 대행료,"200,000",정도검사 대행료,21
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,"900,000","DISPLAY,LCD, BLUE AND WHITE",20-1571
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,"2,450,000",DETECTOR SPARE PART SERINUS30,20-1503
25/01/23-2,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,자동,"-200,000",DC,21
25/02/03-1,카인 일반수리,카인,일반수리,이형섭,(소음) SC-260,"750,000",SC260 보드수리(데이터전송안됨외),T242073
25/02/03-1,카인 일반수리,카인,일반수리,이형섭,(소음) SC-260,,한국 스페인 항공료,T242073
25/02/10-1,카인 정도검사,카인,정도검사,김용명,(소음) SC-260,,정도검사,T242071
25/02/10-2,카인 정도검사,카인,정도검사,김용명,(진동) TYPE3233,,정도검사,160096
25/02/10-3,태원시바타 확인필요,태원시바타,확인필요,신수용,MP-Σ100,,확인필요,461059
25/02/10-4,켐익 일반수리,켐익,일반수리,신수용,COS-100,"50,000",기본점검,KM008W18CO77
25/02/10-4,켐익 일반수리,켐익,일반수리,신수용,COS-100,,내부 배관 교체,KM008W18CO77
25/02/12-1,태원시바타 확인필요,태원시바타,확인필요,신수용,MP-Σ100,,확인필요,441002
25/02/17-1,APM 일반수리,APM,일반수리,송민욱,(CO) Serinus 30 i,"1,200,000",Power supply,20-2132
25/02/17-2,APM 일반수리,APM,확인필요,송민욱,(NO2) Serinus40,,디스플레이 수리(확인필요),21-0517
25/02/17-3,APM 일반수리,APM,일반수리,송민욱,(CO) Serinus30i,,데이터 저장불량 수리,20-2313
25/02/17-4,APM 정도검사,APM,정도검사,송민욱,(SO2) Serinus50,,정도검사,17-1903
25/02/17-5,APM 정도검사,APM,정도검사,송민욱,(SO2) Serinus50,,정도검사,17-1798
25/02/17-6,APM 일반수리,APM,일반수리,성기성,(O3) Serinus10,"900,000",PCA LAMP driver,17-0126
25/03/04-7,켐익 정도검사,켐익,정도검사,김균학,(CO) MEZUS-310,"100,000",점검 및 수리,K1614025A
25/03/04-8,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"100,000",점검 및 수리,K1614022
25/03/04-8,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"350,000",유량센서교체,K1614022
25/03/04-8,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"40,000",내부먼지필터교체,K1614022
25/03/04-8,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"50,000",오염피팅교체,K1614022
25/03/04-9,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"100,000",점검 및 수리,K1614023
25/03/04-9,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"350,000",유량센서교체,K1614023
25/03/04-9,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"40,000",내부먼지필터교체,K1614023
25/03/04-10,켐익 정도검사,켐익,정도검사,김균학,(CO) MEZUS-310,"100,000",점검 및 수리,K1614026A
25/03/04-11,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"100,000",점검 및 수리,K1515023
25/03/04-11,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"40,000",내부먼지필터교체,K1515023
25/03/04-11,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"50,000",오염피팅교체,K1515023
25/03/04-12,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"100,000",점겅 및 수리,K1515022
25/03/04-12,켐익 정도검사,켐익,정도검사,김균학,(NO2) MEZUS-210,"350,000",우랭센서교체,K1515022
