"회사명 : (주)청명기연환경 / 2023/09/01  ~ 2025/09/30  / TEST"
"일자-No.	","출고창고명	","입고창고명	","품목명	","규격	","수량	","장비상태	","적요	","프로젝트명	","담당자명	",""
"2024/07/18 -1	","청명	","현장	","BMW-5000	","1789	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","BMW-5000	","1320	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","BMW-5000	","1792	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","BMW-5000	","1500	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","Serinus 30 i	","20-2171	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","Serinus 30 i	","18-0145	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","Serinus10i	","20-1571	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","Serinus 10 i	","21-0507	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","49iQ	","1190581598	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","49iQ	","1192754688	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","48iQ	","1202038522	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","48iQ	","1201888256	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","KMS-4200	","20P572	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","KMS-4200	","18P360	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","KMS-4200	","18P359	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","KMS-4200	","20P570	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","T8400ME	","4211/TA3713	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","T8400ME	","4170/TA3682	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","T8400ME	","4210/TA3712	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/18 -1	","청명	","현장	","T8400ME	","TA3723	","1","	","	","광양제철소 사후환경영향조사	","김상욱	",""
"2024/07/19 -1	","청명	","현장	","COS-100	","KM008W18CO77	","1","정상	","	","보령매립장 조성사업 사후환경영향조사	","신수용	",""
"2024/07/19 -1	","청명	","현장	","악취샘플링 흡인박스	","흡인박스5	","1","정상	","	","보령매립장 조성사업 사후환경영향조사	","신수용	",""
"2024/07/19 -1	","청명	","현장	","악취샘플링 흡인박스	","흡인박스4	","1","정상	","	","보령매립장 조성사업 사후환경영향조사	","신수용	",""
"2024/07/19 -1	","청명	","현장	","MP-Σ100KNⅡ	","950574	","1","정상	","	","보령매립장 조성사업 사후환경영향조사	","신수용	",""
"2024/07/19 -1	","청명	","현장	","MP-Σ30KNⅡ	","770659	","1","정상	","	","보령매립장 조성사업 사후환경영향조사	","신수용	",""
"2024/07/19 -1	","청명	","현장	","KMS-5100	","23KR1728	","1","정상	","	","보령매립장 조성사업 사후환경영향조사	","신수용	",""
"2024/07/19 -1	","청명	","현장	","KMS-5100	","23KR1730	","1","정상	","	","보령매립장 조성사업 사후환경영향조사	","신수용	",""
"2024/07/19 -1	","청명	","현장	","Kestrel5500	","2390486	","1","정상	","	","보령매립장 조성사업 사후환경영향조사	","신수용	",""
"2024/07/19 -8	","청명	","현장	","BMW-5000	","1847	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","BMW-5000	","1314	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","BMW-5000	","854	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","BMW-5000	","1316	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","BMW-5000	","723	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","KMS-4200	","18P358	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","KMS-4200	","18P353	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","KMS-4200	","20P568	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","KMS-4200	","18P367	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","BMW-5000	","1798	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","KMS-4200	","20P564	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
"2024/07/19 -8	","청명	","현장	","PMS-204	","1501506	","1","	","	","대구 연경 공공주택지구 조성사업 사후	","백승철	",""
